"evidence_edge_id","record_type","record_id","field_name","claim_kind","source_id","evidence_role","confidence_label","source_dataset_id","notes"
"EVD-EG-EGY-TZA-2026-SUP","entry_rule","EGY-TZA-2026","legacy_entry_rule_bundle","official_source_synthesis","SRC-EG-SRC-10","supporting","corroborated","DSET-EG-PASS-2026-V13","Supporting or operational source retained from v13."
"EVD-EG-EGY-UGA-2026-PRI","entry_rule","EGY-UGA-2026","legacy_entry_rule_bundle","official_source_synthesis","SRC-EG-SRC-12","primary","authoritative","DSET-EG-PASS-2026-V13","Legacy bundle pending atomic split of stay, validity, fees, and requirements."
"EVD-EG-EGY-UGA-2026-SUP","entry_rule","EGY-UGA-2026","legacy_entry_rule_bundle","official_source_synthesis","SRC-EG-SUP-UG-01","supporting","corroborated","DSET-EG-PASS-2026-V13","Supporting or operational source retained from v13."
"EVD-SA-AR-EDT-01","planning_profile","PLAN-AR-V1-1","suggested_days_range_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-AR-EDT-02","planning_profile","PLAN-AR-V1-1","buffer_days_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-AR-EDT-03","planning_profile","PLAN-AR-V1-1","gateway_city_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-AR-EDT-04","planning_profile","PLAN-AR-V1-1","route_intensity_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-AR-EDT-05","planning_profile","PLAN-AR-V1-1","signature_experience_1_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-AR-EDT-06","planning_profile","PLAN-AR-V1-1","signature_experience_2_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-AR-ENT-01","planning_profile","PLAN-AR-V1-1","official_entry_url","official_fact","SRC-SA-AR-03","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-AR-EXP-01","planning_profile","PLAN-AR-V1-1","signature_experiences","editorial_judgment","SRC-SA-AR-02","supporting","editorial","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-AR-SEA-01","planning_profile","PLAN-AR-V1-1","seasonality_note","official_source_synthesis","SRC-SA-AR-01","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-AR-TOU-01","planning_profile","PLAN-AR-V1-1","official_tourism_url","official_fact","SRC-SA-AR-02","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-BO-EDT-01","planning_profile","PLAN-BO-V1-1","suggested_days_range_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-BO-EDT-02","planning_profile","PLAN-BO-V1-1","buffer_days_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-BO-EDT-03","planning_profile","PLAN-BO-V1-1","gateway_city_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-BO-EDT-04","planning_profile","PLAN-BO-V1-1","route_intensity_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-BO-EDT-05","planning_profile","PLAN-BO-V1-1","signature_experience_1_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-BO-EDT-06","planning_profile","PLAN-BO-V1-1","signature_experience_2_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-BO-ENT-01","planning_profile","PLAN-BO-V1-1","official_entry_url","official_fact","SRC-SA-BO-03","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-BO-GAT-01","planning_profile","PLAN-BO-V1-1","gateway_note","official_source_synthesis","SRC-SA-BO-02","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-BO-SEA-01","planning_profile","PLAN-BO-V1-1","seasonality_note","official_source_synthesis","SRC-SA-BO-01","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-BO-TOU-01","planning_profile","PLAN-BO-V1-1","official_tourism_url","official_fact","SRC-SA-BO-01","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-BR-EDT-01","planning_profile","PLAN-BR-V1-1","suggested_days_range_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-BR-EDT-02","planning_profile","PLAN-BR-V1-1","buffer_days_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-BR-EDT-03","planning_profile","PLAN-BR-V1-1","gateway_city_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-BR-EDT-04","planning_profile","PLAN-BR-V1-1","route_intensity_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-BR-EDT-05","planning_profile","PLAN-BR-V1-1","signature_experience_1_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-BR-EDT-06","planning_profile","PLAN-BR-V1-1","signature_experience_2_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-BR-ENT-01","planning_profile","PLAN-BR-V1-1","official_entry_url","official_fact","SRC-SA-BR-04","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-BR-GAT-01","planning_profile","PLAN-BR-V1-1","gateway_note","official_source_synthesis","SRC-SA-BR-03","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-BR-SEA-01","planning_profile","PLAN-BR-V1-1","seasonality_note","official_source_synthesis","SRC-SA-BR-01","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-BR-SEA-02","planning_profile","PLAN-BR-V1-1","seasonality_note","official_source_synthesis","SRC-SA-BR-02","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-BR-TOU-01","planning_profile","PLAN-BR-V1-1","official_tourism_url","official_fact","SRC-SA-BR-01","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-CL-EDT-01","planning_profile","PLAN-CL-V1-1","suggested_days_range_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-CL-EDT-02","planning_profile","PLAN-CL-V1-1","buffer_days_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-CL-EDT-03","planning_profile","PLAN-CL-V1-1","gateway_city_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-CL-EDT-04","planning_profile","PLAN-CL-V1-1","route_intensity_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-CL-EDT-05","planning_profile","PLAN-CL-V1-1","signature_experience_1_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-CL-EDT-06","planning_profile","PLAN-CL-V1-1","signature_experience_2_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-CL-ENT-01","planning_profile","PLAN-CL-V1-1","official_entry_url","official_fact","SRC-SA-CL-04","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-CL-EXP-01","planning_profile","PLAN-CL-V1-1","signature_experiences","editorial_judgment","SRC-SA-CL-01","supporting","editorial","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-CL-EXP-02","planning_profile","PLAN-CL-V1-1","signature_experiences","editorial_judgment","SRC-SA-CL-02","supporting","editorial","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-CL-GAT-01","planning_profile","PLAN-CL-V1-1","gateway_note","official_source_synthesis","SRC-SA-CL-03","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-CL-SEA-01","planning_profile","PLAN-CL-V1-1","seasonality_note","official_source_synthesis","SRC-SA-CL-01","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-CL-SEA-02","planning_profile","PLAN-CL-V1-1","seasonality_note","official_source_synthesis","SRC-SA-CL-02","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-CL-TOU-01","planning_profile","PLAN-CL-V1-1","official_tourism_url","official_fact","SRC-SA-CL-01","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-CL-TOU-02","planning_profile","PLAN-CL-V1-1","official_tourism_url","official_fact","SRC-SA-CL-02","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-CO-EDT-01","planning_profile","PLAN-CO-V1-1","suggested_days_range_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-CO-EDT-02","planning_profile","PLAN-CO-V1-1","buffer_days_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-CO-EDT-03","planning_profile","PLAN-CO-V1-1","gateway_city_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-CO-EDT-04","planning_profile","PLAN-CO-V1-1","route_intensity_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-CO-EDT-05","planning_profile","PLAN-CO-V1-1","signature_experience_1_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-CO-EDT-06","planning_profile","PLAN-CO-V1-1","signature_experience_2_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-CO-ENT-01","planning_profile","PLAN-CO-V1-1","official_entry_url","official_fact","SRC-SA-CO-03","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-CO-EXP-01","planning_profile","PLAN-CO-V1-1","signature_experiences","editorial_judgment","SRC-SA-CO-02","supporting","editorial","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-CO-SEA-01","planning_profile","PLAN-CO-V1-1","seasonality_note","official_source_synthesis","SRC-SA-CO-01","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-CO-TOU-01","planning_profile","PLAN-CO-V1-1","official_tourism_url","official_fact","SRC-SA-CO-01","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-CO-TOU-02","planning_profile","PLAN-CO-V1-1","official_tourism_url","official_fact","SRC-SA-CO-02","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-EC-EDT-01","planning_profile","PLAN-EC-V1-1","suggested_days_range_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-EC-EDT-02","planning_profile","PLAN-EC-V1-1","buffer_days_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-EC-EDT-03","planning_profile","PLAN-EC-V1-1","gateway_city_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-EC-EDT-04","planning_profile","PLAN-EC-V1-1","route_intensity_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-EC-EDT-05","planning_profile","PLAN-EC-V1-1","signature_experience_1_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-EC-EDT-06","planning_profile","PLAN-EC-V1-1","signature_experience_2_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-EC-ENT-01","planning_profile","PLAN-EC-V1-1","official_entry_url","official_fact","SRC-SA-EC-04","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-EC-EXP-01","planning_profile","PLAN-EC-V1-1","signature_experiences","editorial_judgment","SRC-SA-EC-01","supporting","editorial","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-EC-EXP-02","planning_profile","PLAN-EC-V1-1","signature_experiences","editorial_judgment","SRC-SA-EC-02","supporting","editorial","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-EC-GAT-01","planning_profile","PLAN-EC-V1-1","gateway_note","official_source_synthesis","SRC-SA-EC-03","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-EC-SEA-01","planning_profile","PLAN-EC-V1-1","seasonality_note","official_source_synthesis","SRC-SA-EC-02","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-EC-TOU-01","planning_profile","PLAN-EC-V1-1","official_tourism_url","official_fact","SRC-SA-EC-01","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-GY-EDT-01","planning_profile","PLAN-GY-V1-1","suggested_days_range_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-GY-EDT-02","planning_profile","PLAN-GY-V1-1","buffer_days_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-GY-EDT-03","planning_profile","PLAN-GY-V1-1","gateway_city_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-GY-EDT-04","planning_profile","PLAN-GY-V1-1","route_intensity_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-GY-EDT-05","planning_profile","PLAN-GY-V1-1","signature_experience_1_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-GY-EDT-06","planning_profile","PLAN-GY-V1-1","signature_experience_2_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-GY-ENT-01","planning_profile","PLAN-GY-V1-1","official_entry_url","official_fact","SRC-SA-GY-03","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-GY-GAT-01","planning_profile","PLAN-GY-V1-1","gateway_note","official_source_synthesis","SRC-SA-GY-02","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-GY-SEA-01","planning_profile","PLAN-GY-V1-1","seasonality_note","official_source_synthesis","SRC-SA-GY-01","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-GY-TOU-01","planning_profile","PLAN-GY-V1-1","official_tourism_url","official_fact","SRC-SA-GY-01","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-PE-EDT-01","planning_profile","PLAN-PE-V1-1","suggested_days_range_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-PE-EDT-02","planning_profile","PLAN-PE-V1-1","buffer_days_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-PE-EDT-03","planning_profile","PLAN-PE-V1-1","gateway_city_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-PE-EDT-04","planning_profile","PLAN-PE-V1-1","route_intensity_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-PE-EDT-05","planning_profile","PLAN-PE-V1-1","signature_experience_1_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-PE-EDT-06","planning_profile","PLAN-PE-V1-1","signature_experience_2_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-PE-ENT-01","planning_profile","PLAN-PE-V1-1","official_entry_url","official_fact","SRC-SA-PE-04","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-PE-EXP-01","planning_profile","PLAN-PE-V1-1","signature_experiences","editorial_judgment","SRC-SA-PE-02","supporting","editorial","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-PE-GAT-01","planning_profile","PLAN-PE-V1-1","gateway_note","official_source_synthesis","SRC-SA-PE-03","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-PE-SEA-01","planning_profile","PLAN-PE-V1-1","seasonality_note","official_source_synthesis","SRC-SA-PE-01","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-PE-SEA-02","planning_profile","PLAN-PE-V1-1","seasonality_note","official_source_synthesis","SRC-SA-PE-02","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-PE-TOU-01","planning_profile","PLAN-PE-V1-1","official_tourism_url","official_fact","SRC-SA-PE-01","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-PY-EDT-01","planning_profile","PLAN-PY-V1-1","suggested_days_range_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-PY-EDT-02","planning_profile","PLAN-PY-V1-1","buffer_days_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-PY-EDT-03","planning_profile","PLAN-PY-V1-1","gateway_city_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-PY-EDT-04","planning_profile","PLAN-PY-V1-1","route_intensity_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-PY-EDT-05","planning_profile","PLAN-PY-V1-1","signature_experience_1_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-PY-EDT-06","planning_profile","PLAN-PY-V1-1","signature_experience_2_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-PY-ENT-01","planning_profile","PLAN-PY-V1-1","official_entry_url","official_fact","SRC-SA-PY-03","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-PY-GAT-01","planning_profile","PLAN-PY-V1-1","gateway_note","official_source_synthesis","SRC-SA-PY-02","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-PY-SEA-01","planning_profile","PLAN-PY-V1-1","seasonality_note","official_source_synthesis","SRC-SA-PY-01","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-PY-TOU-01","planning_profile","PLAN-PY-V1-1","official_tourism_url","official_fact","SRC-SA-PY-01","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-SR-EDT-01","planning_profile","PLAN-SR-V1-1","suggested_days_range_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-SR-EDT-02","planning_profile","PLAN-SR-V1-1","buffer_days_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-SR-EDT-03","planning_profile","PLAN-SR-V1-1","gateway_city_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-SR-EDT-04","planning_profile","PLAN-SR-V1-1","route_intensity_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-SR-EDT-05","planning_profile","PLAN-SR-V1-1","signature_experience_1_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-SR-EDT-06","planning_profile","PLAN-SR-V1-1","signature_experience_2_editorial","editorial_judgment","","editorial_only","editorial","DSET-SA-2026-V1-1","Explicitly labelled VisaAdvisor editorial judgment; no government recommendation is claimed."
"EVD-SA-SR-ENT-01","planning_profile","PLAN-SR-V1-1","official_entry_url","official_fact","SRC-SA-SR-04","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-SR-GAT-01","planning_profile","PLAN-SR-V1-1","gateway_note","official_source_synthesis","SRC-SA-SR-02","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-SR-SEA-01","planning_profile","PLAN-SR-V1-1","seasonality_note","official_source_synthesis","SRC-SA-SR-01","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
"EVD-SA-SR-SEA-02","planning_profile","PLAN-SR-V1-1","seasonality_note","official_source_synthesis","SRC-SA-SR-03","primary","authoritative","DSET-SA-2026-V1-1","Imported field-to-source link from South America v1.1."
