"source_id","source_dataset_id","place_id","source_title","source_organization","source_type","source_role","field_type","evidence_scope","url","checked_on","next_review_due","volatility_class","authority_tier","automation_eligible","update_boundary","notes"
"SRC-SA-AR-01","DSET-SA-2026-V1-1","PLC-AR","seasonality and regional planning","Instituto Nacional de Promocion Turistica","official tourism","official source","seasonality","seasonality and regional planning","https://www.argentina.travel/en/about-argentina","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","Supports region-specific timing rather than one national best season."
"SRC-SA-AR-02","DSET-SA-2026-V1-1","PLC-AR","tourism planning","Instituto Nacional de Promocion Turistica","official tourism","official source","tourism_portal","tourism planning","https://www.argentina.travel/en","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","National destination portal."
"SRC-SA-AR-03","DSET-SA-2026-V1-1","PLC-AR","entry documents","Direccion Nacional de Migraciones","government immigration","official source","entry","entry documents","https://www.argentina.gob.ar/migraciones/documentacion-para-ingresar-al-pais-como-turista","2026-08-02","2026-11-02","V3_REGULATORY","A_CONTROLLING_OR_PRIMARY","true","report_only","Nationality and document rules must be checked before booking."
"SRC-SA-BO-01","DSET-SA-2026-V1-1","PLC-BO","seasonality and traveller preparation","Bolivia Travel","official tourism","official source","seasonality","seasonality and traveller preparation","https://boliviatravel.gob.bo/recomendaciones/","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","Supports the April-October general window and regional preparation."
"SRC-SA-BO-02","DSET-SA-2026-V1-1","PLC-BO","main international gateway","NAABOL","government airport authority","official source","gateway","main international gateway","https://naabol.gob.bo/aeropuerto-internacional-de-viru-viru/","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","Describes Viru Viru as the principal intercontinental connection centre."
"SRC-SA-BO-03","DSET-SA-2026-V1-1","PLC-BO","visa process","Ministry of Foreign Affairs","government foreign affairs","official source","entry","visa process","https://cancilleria.gob.bo/mre/servicios/","2026-08-02","2026-11-02","V3_REGULATORY","A_CONTROLLING_OR_PRIMARY","true","report_only","Official consular-services page; visa requirements and issuance must be confirmed with the responsible Bolivian mission."
"SRC-SA-BR-01","DSET-SA-2026-V1-1","PLC-BR","regional climate","Visit Brasil","official tourism","official source","seasonality","regional climate","https://www.visitbrasil.com/en/info/climate-and-weather/","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","Supports the absence of a single national season."
"SRC-SA-BR-02","DSET-SA-2026-V1-1","PLC-BR","regional timing","Ministry of Tourism","government tourism","official source","seasonality","regional timing","https://www.gov.br/turismo/pt-br/assuntos/ultimas-noticia/viajando-na-epoca-certa/","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","Includes the May-September Pantanal window."
"SRC-SA-BR-03","DSET-SA-2026-V1-1","PLC-BR","main gateway","Ministry of Ports and Airports","government aviation","official source","gateway","main gateway","https://www.gov.br/portos-e-aeroportos/pt-br/assuntos/noticias/2025/12/aeroporto-internacional-de-guarulhos-tem-novo-plano-de-investimentos-no-valor-de-r-2-5-bilhoes","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","Identifies GRU as the country's largest airport and main foreign-tourist gateway."
"SRC-SA-BR-04","DSET-SA-2026-V1-1","PLC-BR","entry and visa","Federal Government of Brazil","government consular","official source","entry","entry and visa","https://www.gov.br/pt-br/servicos/obter-visto-para-viajar-ao-brasil","2026-08-02","2026-11-02","V3_REGULATORY","A_CONTROLLING_OR_PRIMARY","true","report_only","Official visa service page."
"SRC-SA-CL-01","DSET-SA-2026-V1-1","PLC-CL","Atacama timing","Chile Travel","official tourism","official source","seasonality","Atacama timing","https://chile.travel/en/blog/san-pedro-de-atacama-the-best-time-to-travel-that-few-people-know-about/","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","Supports April-June and notes summer highland storms."
"SRC-SA-CL-02","DSET-SA-2026-V1-1","PLC-CL","Patagonia timing","Chile Travel","official tourism","official source","seasonality","Patagonia timing","https://chile.travel/en/destinations/carretera-austral/","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","Supports the December-March planning window for the Carretera Austral."
"SRC-SA-CL-03","DSET-SA-2026-V1-1","PLC-CL","main gateway","Chile Travel","official tourism","official source","gateway","main gateway","https://chile.travel/en/destinations/santiago-capital/","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","Identifies Santiago's airport as Chile's main air terminal."
"SRC-SA-CL-04","DSET-SA-2026-V1-1","PLC-CL","transitory stay and tourist entry","SERMIG","government immigration","official source","entry","transitory stay and tourist entry","https://serviciomigraciones.cl/en/permanencia-transitoria-permit/subcategories/tourists/","2026-08-02","2026-11-02","V3_REGULATORY","A_CONTROLLING_OR_PRIMARY","true","report_only","Official tourist/transitory-stay information."
"SRC-SA-CO-01","DSET-SA-2026-V1-1","PLC-CO","regional weather","Colombia Travel / ProColombia","official tourism","official source","seasonality","regional weather","https://colombia.travel/en/practical-information/weather","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","Supports regional wet and dry patterns."
"SRC-SA-CO-02","DSET-SA-2026-V1-1","PLC-CO","coffee region","Colombia Travel / ProColombia","official tourism","official source","experience","coffee region","https://colombia.travel/en/coffee-regions","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","Supports the Coffee Cultural Landscape experience."
"SRC-SA-CO-03","DSET-SA-2026-V1-1","PLC-CO","visa check","Ministry of Foreign Affairs","government consular","official source","entry","visa check","https://www.cancilleria.gov.co/atencion-y-servicio-al-ciudadano/tramites-y-servicios/visa/necesito-un-visa","2026-08-02","2026-11-02","V3_REGULATORY","A_CONTROLLING_OR_PRIMARY","true","report_only","Official nationality-specific visa checker."
"SRC-SA-EC-01","DSET-SA-2026-V1-1","PLC-EC","regional planning","Ministry of Tourism of Ecuador","official tourism","official source","experience","regional planning","https://ecuador.travel/en/where-to-go/","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","Supports region-based destination planning."
"SRC-SA-EC-02","DSET-SA-2026-V1-1","PLC-EC","Galapagos seasonality","Ministry of Tourism of Ecuador","official tourism","official source","seasonality","Galapagos seasonality","https://ecuador.travel/como-llegar-a-galapagos/","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","Official article distinguishes the warmer December-May period from the cooler June-November period."
"SRC-SA-EC-03","DSET-SA-2026-V1-1","PLC-EC","entry documents and gateways","Ministry of Tourism of Ecuador","official tourism","official source","gateway","entry documents and gateways","https://ecuador.travel/en/travel-safe/","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","Official traveller information and entry-document guidance."
"SRC-SA-EC-04","DSET-SA-2026-V1-1","PLC-EC","visa information","Ministry of Foreign Affairs and Human Mobility","government consular","official source","entry","visa information","https://www.cancilleria.gob.ec/2020/06/15/visas-en-el-ecuador/","2026-08-02","2026-11-02","V3_REGULATORY","A_CONTROLLING_OR_PRIMARY","true","report_only","Official visa information."
"SRC-SA-GY-01","DSET-SA-2026-V1-1","PLC-GY","dry and green seasons","Guyana Tourism Authority","official tourism","official source","seasonality","dry and green seasons","https://guyanatourism.com/travel-tips/","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","Supports separate coast/interior windows and wet-season trade-offs."
"SRC-SA-GY-02","DSET-SA-2026-V1-1","PLC-GY","arrival gateways","Guyana Tourism Authority","official tourism","official source","gateway","arrival gateways","https://guyanatourism.com/plan-your-trip/how-to-get-here/","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","Official arrival and airport information."
"SRC-SA-GY-03","DSET-SA-2026-V1-1","PLC-GY","entry and visa","Ministry of Foreign Affairs and International Cooperation","government consular","official source","entry","entry and visa","https://minfor.gov.gy/visa-information","2026-08-02","2026-11-02","V3_REGULATORY","A_CONTROLLING_OR_PRIMARY","true","report_only","Official visa information."
"SRC-SA-PE-01","DSET-SA-2026-V1-1","PLC-PE","regional climate","PROMPERU","official tourism","official source","seasonality","regional climate","https://birdwatching.peru.travel/en/peru-map","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","Supports distinct coast, Andes and Amazon climate patterns."
"SRC-SA-PE-02","DSET-SA-2026-V1-1","PLC-PE","Machu Picchu timing","SERNANP","government protected-area authority","official source","experience","Machu Picchu timing","https://visitaareasnaturales.sernanp.gob.pe/en/anps/historic-sanctuary-of-machupicchu/","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","Supports April-October and notes November-March rains."
"SRC-SA-PE-03","DSET-SA-2026-V1-1","PLC-PE","main gateway","Ministry of Transport and Communications","government aviation","official source","gateway","main gateway","https://www.gob.pe/institucion/mtc/noticias/1395833-mtc-consolida-el-liderazgo-regional-del-jorge-chavez-conectando-al-peru-con-49-destinos-internacionales","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","Describes LIM as a strategic passenger and logistics hub."
"SRC-SA-PE-04","DSET-SA-2026-V1-1","PLC-PE","tourist entry","Superintendencia Nacional de Migraciones","government immigration","official source","entry","tourist entry","https://www.gob.pe/en/institucion/migraciones/campa%C3%B1as/64003-informacion-fundamental-para-turistas-en-peru","2026-08-02","2026-11-02","V3_REGULATORY","A_CONTROLLING_OR_PRIMARY","true","report_only","Official essential information for tourists."
"SRC-SA-PY-01","DSET-SA-2026-V1-1","PLC-PY","climate and planning","SENATUR","official tourism","official source","seasonality","climate and planning","https://visitparaguay.travel/planea-tu-viaje","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","Supports regional heat and seasonal planning."
"SRC-SA-PY-02","DSET-SA-2026-V1-1","PLC-PY","air gateway","Government Information Agency","official state reporting","official source","gateway","air gateway","https://www.ip.gov.py/ip/2025/10/07/paraguay-gana-altura-crecen-las-rutas-los-pasajeros-y-el-interes-de-aerolineas-internacionales/","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","State reporting citing DINAC data supports ASU's role in scheduled air traffic."
"SRC-SA-PY-03","DSET-SA-2026-V1-1","PLC-PY","entry and exit requirements","Direccion Nacional de Migraciones","government immigration","official source","entry","entry and exit requirements","https://migraciones.gov.py/entrada-y-salida-del-pais/requerimientos-migratorios-de-ingreso-y-salida-del-paraguay/","2026-08-02","2026-11-02","V3_REGULATORY","A_CONTROLLING_OR_PRIMARY","true","report_only","Official entry and exit requirements."
"SRC-SA-SR-01","DSET-SA-2026-V1-1","PLC-SR","relative dry seasons","Suriname Tourism Board","official tourism","official source","seasonality","relative dry seasons","https://www.surinametourism.sr/why-suriname/","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","Supports February-April and mid-August-November as relatively drier windows."
"SRC-SA-SR-02","DSET-SA-2026-V1-1","PLC-SR","main gateway","Suriname Tourism Board","official tourism","official source","gateway","main gateway","https://www.surinametourism.sr/air-transport/","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","Identifies PBM/Zanderij as the international gateway."
"SRC-SA-SR-03","DSET-SA-2026-V1-1","PLC-SR","weather variability","Meteorological Service Suriname","government meteorology","official source","seasonality","weather variability","https://gov.sr/meteorologische-dienst-suriname-start-dagelijkse-weersverwachtingen/","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","Supports caution against treating season dates as guarantees."
"SRC-SA-SR-04","DSET-SA-2026-V1-1","PLC-SR","entry information","Government of Suriname","government foreign affairs","official source","entry","entry information","https://gov.sr/ministeries/ministerie-van-buitenlandse-zaken-internationale-handel-samenwerking/reizen-naar-suriname/","2026-08-02","2026-11-02","V3_REGULATORY","A_CONTROLLING_OR_PRIMARY","true","report_only","Official travel-to-Suriname information."
"SRC-SA-UY-01","DSET-SA-2026-V1-1","PLC-UY","summer season","Ministry of Tourism","government tourism","official source","seasonality","summer season","https://www.gub.uy/ministerio-turismo/comunicacion/noticias/ingreso-divisas-uruguay-registro-incremento-temporada-verano-alcanzando-928","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","Supports the December-February national summer-tourism period."
"SRC-SA-UY-02","DSET-SA-2026-V1-1","PLC-UY","whale season","Ministry of Tourism","government tourism","official source","experience","whale season","https://www.gub.uy/ministerio-turismo/comunicacion/noticias/lanzamiento-temporada-avistamiento-ballenas-2024","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","Supports the July-October southern right whale window."
"SRC-SA-UY-03","DSET-SA-2026-V1-1","PLC-UY","official destination portal","Ministry of Tourism","official tourism","official source","tourism_portal","official destination portal","https://uruguaynatural.com/en/","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","National tourism portal."
"SRC-SA-UY-04","DSET-SA-2026-V1-1","PLC-UY","visa admission regime","Ministry of Interior","government immigration","official source","entry","visa admission regime","https://www.gub.uy/ministerio-interior/comunicacion/publicaciones/regimen-visas-admision","2026-08-02","2026-11-02","V3_REGULATORY","A_CONTROLLING_OR_PRIMARY","true","report_only","Official visa-admission information."
"SRC-SA-VE-01","DSET-SA-2026-V1-1","PLC-VE","Canaima seasonality","INPARQUES","government protected-area authority","official source","seasonality","Canaima seasonality","https://www.inparques.gob.ve/parque-nacional-canaima/","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","Supports drier January-March and wetter April-December framing."
"SRC-SA-VE-02","DSET-SA-2026-V1-1","PLC-VE","Los Roques climate","INPARQUES","government protected-area authority","official source","seasonality","Los Roques climate","https://www.inparques.gob.ve/parque-nacional-archipielago-los-roques/","2026-08-02","2026-11-02","V2_PLANNING","B_OFFICIAL_OPERATIONAL","true","propose_only","Supports the comparatively dry archipelago climate."
"SRC-SA-VE-03","DSET-SA-2026-V1-1","PLC-VE","airport operational alert","Correo del Orinoco / AVN","historical time-sensitive state reporting","official source","operational_alert","airport operational alert","https://www.correodelorinoco.gob.ve/comision-cuantifica-afectaciones-por-doble-terremoto-en-aeropuerto-de-maiquetia/","2026-08-02","2026-08-09","V4_OPERATIONAL","B_OFFICIAL_OPERATIONAL","true","report_only","20 July 2026 historical report: CCS remained on limited operations after the 24 June earthquakes."
"SRC-SA-VE-04","DSET-SA-2026-V1-1","PLC-VE","commercial flight restart planning","Ciudad CCS","historical time-sensitive state reporting","official source","operational_alert","commercial flight restart planning","https://ciudadccs.info/index.php/publicacion/47515","2026-08-02","2026-08-09","V4_OPERATIONAL","B_OFFICIAL_OPERATIONAL","true","report_only","27 July report citing NOTAM CO765/26: technical closure 27 July-22 August and a provisional progressive commercial restart planned for 24 August; travellers must recheck the airport and airline."
"SRC-SA-VE-05","DSET-SA-2026-V1-1","PLC-VE","tourist entry requirements","Ministry of Foreign Affairs","government consular","official source","entry","tourist entry requirements","https://mppre.gob.ve/index.php/detalle_turismo/4-requisitos-migratorios-para-viajar-a-venezuela-como-turista","2026-08-02","2026-11-02","V3_REGULATORY","A_CONTROLLING_OR_PRIMARY","true","report_only","Official entry-requirements page."
