"version","source_id","country","field_type","field_supported","source_organization","source_type","url","checked_on","next_review_due","time_sensitivity","note","dataset_url","license"
"1.1","CL-01","Chile","seasonality","Atacama timing","Chile Travel","official tourism","https://chile.travel/en/blog/san-pedro-de-atacama-the-best-time-to-travel-that-few-people-know-about/","2026-08-02","2026-11-02","standard","Supports April-June and notes summer highland storms.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","CL-02","Chile","seasonality","Patagonia timing","Chile Travel","official tourism","https://chile.travel/en/destinations/carretera-austral/","2026-08-02","2026-11-02","standard","Supports the December-March planning window for the Carretera Austral.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","CL-03","Chile","gateway","main gateway","Chile Travel","official tourism","https://chile.travel/en/destinations/santiago-capital/","2026-08-02","2026-11-02","standard","Identifies Santiago's airport as Chile's main air terminal.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","CL-04","Chile","entry","transitory stay and tourist entry","SERMIG","government immigration","https://serviciomigraciones.cl/en/permanencia-transitoria-permit/subcategories/tourists/","2026-08-02","2026-11-02","standard","Official tourist/transitory-stay information.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","CO-01","Colombia","seasonality","regional weather","Colombia Travel / ProColombia","official tourism","https://colombia.travel/en/practical-information/weather","2026-08-02","2026-11-02","standard","Supports regional wet and dry patterns.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","CO-02","Colombia","experience","coffee region","Colombia Travel / ProColombia","official tourism","https://colombia.travel/en/coffee-regions","2026-08-02","2026-11-02","standard","Supports the Coffee Cultural Landscape experience.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","CO-03","Colombia","entry","visa check","Ministry of Foreign Affairs","government consular","https://www.cancilleria.gov.co/atencion-y-servicio-al-ciudadano/tramites-y-servicios/visa/necesito-un-visa","2026-08-02","2026-11-02","standard","Official nationality-specific visa checker.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","EC-01","Ecuador","experience","regional planning","Ministry of Tourism of Ecuador","official tourism","https://ecuador.travel/en/where-to-go/","2026-08-02","2026-11-02","standard","Supports region-based destination planning.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","EC-02","Ecuador","seasonality","Galapagos seasonality","Ministry of Tourism of Ecuador","official tourism","https://ecuador.travel/como-llegar-a-galapagos/","2026-08-02","2026-11-02","standard","Official article distinguishes the warmer December-May period from the cooler June-November period.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","EC-03","Ecuador","gateway","entry documents and gateways","Ministry of Tourism of Ecuador","official tourism","https://ecuador.travel/en/travel-safe/","2026-08-02","2026-11-02","standard","Official traveller information and entry-document guidance.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","EC-04","Ecuador","entry","visa information","Ministry of Foreign Affairs and Human Mobility","government consular","https://www.cancilleria.gob.ec/2020/06/15/visas-en-el-ecuador/","2026-08-02","2026-11-02","standard","Official visa information.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","GY-01","Guyana","seasonality","dry and green seasons","Guyana Tourism Authority","official tourism","https://guyanatourism.com/travel-tips/","2026-08-02","2026-11-02","standard","Supports separate coast/interior windows and wet-season trade-offs.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","GY-02","Guyana","gateway","arrival gateways","Guyana Tourism Authority","official tourism","https://guyanatourism.com/plan-your-trip/how-to-get-here/","2026-08-02","2026-11-02","standard","Official arrival and airport information.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","GY-03","Guyana","entry","entry and visa","Ministry of Foreign Affairs and International Cooperation","government consular","https://minfor.gov.gy/visa-information","2026-08-02","2026-11-02","standard","Official visa information.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","PY-01","Paraguay","seasonality","climate and planning","SENATUR","official tourism","https://visitparaguay.travel/planea-tu-viaje","2026-08-02","2026-11-02","standard","Supports regional heat and seasonal planning.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","PY-02","Paraguay","gateway","air gateway","Government Information Agency","official state reporting","https://www.ip.gov.py/ip/2025/10/07/paraguay-gana-altura-crecen-las-rutas-los-pasajeros-y-el-interes-de-aerolineas-internacionales/","2026-08-02","2026-11-02","standard","State reporting citing DINAC data supports ASU's role in scheduled air traffic.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","PY-03","Paraguay","entry","entry and exit requirements","Direccion Nacional de Migraciones","government immigration","https://migraciones.gov.py/entrada-y-salida-del-pais/requerimientos-migratorios-de-ingreso-y-salida-del-paraguay/","2026-08-02","2026-11-02","standard","Official entry and exit requirements.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","PE-01","Peru","seasonality","regional climate","PROMPERU","official tourism","https://birdwatching.peru.travel/en/peru-map","2026-08-02","2026-11-02","standard","Supports distinct coast, Andes and Amazon climate patterns.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","PE-02","Peru","experience","Machu Picchu timing","SERNANP","government protected-area authority","https://visitaareasnaturales.sernanp.gob.pe/en/anps/historic-sanctuary-of-machupicchu/","2026-08-02","2026-11-02","standard","Supports April-October and notes November-March rains.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","PE-03","Peru","gateway","main gateway","Ministry of Transport and Communications","government aviation","https://www.gob.pe/institucion/mtc/noticias/1395833-mtc-consolida-el-liderazgo-regional-del-jorge-chavez-conectando-al-peru-con-49-destinos-internacionales","2026-08-02","2026-11-02","standard","Describes LIM as a strategic passenger and logistics hub.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","PE-04","Peru","entry","tourist entry","Superintendencia Nacional de Migraciones","government immigration","https://www.gob.pe/en/institucion/migraciones/campa%C3%B1as/64003-informacion-fundamental-para-turistas-en-peru","2026-08-02","2026-11-02","standard","Official essential information for tourists.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","SR-01","Suriname","seasonality","relative dry seasons","Suriname Tourism Board","official tourism","https://www.surinametourism.sr/why-suriname/","2026-08-02","2026-11-02","standard","Supports February-April and mid-August-November as relatively drier windows.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","SR-02","Suriname","gateway","main gateway","Suriname Tourism Board","official tourism","https://www.surinametourism.sr/air-transport/","2026-08-02","2026-11-02","standard","Identifies PBM/Zanderij as the international gateway.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","SR-03","Suriname","seasonality","weather variability","Meteorological Service Suriname","government meteorology","https://gov.sr/meteorologische-dienst-suriname-start-dagelijkse-weersverwachtingen/","2026-08-02","2026-11-02","standard","Supports caution against treating season dates as guarantees.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","SR-04","Suriname","entry","entry information","Government of Suriname","government foreign affairs","https://gov.sr/ministeries/ministerie-van-buitenlandse-zaken-internationale-handel-samenwerking/reizen-naar-suriname/","2026-08-02","2026-11-02","standard","Official travel-to-Suriname information.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","UY-01","Uruguay","seasonality","summer season","Ministry of Tourism","government tourism","https://www.gub.uy/ministerio-turismo/comunicacion/noticias/ingreso-divisas-uruguay-registro-incremento-temporada-verano-alcanzando-928","2026-08-02","2026-11-02","standard","Supports the December-February national summer-tourism period.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","UY-02","Uruguay","experience","whale season","Ministry of Tourism","government tourism","https://www.gub.uy/ministerio-turismo/comunicacion/noticias/lanzamiento-temporada-avistamiento-ballenas-2024","2026-08-02","2026-11-02","standard","Supports the July-October southern right whale window.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","UY-03","Uruguay","tourism_portal","official destination portal","Ministry of Tourism","official tourism","https://uruguaynatural.com/en/","2026-08-02","2026-11-02","standard","National tourism portal.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","UY-04","Uruguay","entry","visa admission regime","Ministry of Interior","government immigration","https://www.gub.uy/ministerio-interior/comunicacion/publicaciones/regimen-visas-admision","2026-08-02","2026-11-02","standard","Official visa-admission information.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","VE-01","Venezuela","seasonality","Canaima seasonality","INPARQUES","government protected-area authority","https://www.inparques.gob.ve/parque-nacional-canaima/","2026-08-02","2026-11-02","standard","Supports drier January-March and wetter April-December framing.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","VE-02","Venezuela","seasonality","Los Roques climate","INPARQUES","government protected-area authority","https://www.inparques.gob.ve/parque-nacional-archipielago-los-roques/","2026-08-02","2026-11-02","standard","Supports the comparatively dry archipelago climate.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","VE-03","Venezuela","operational_alert","airport operational alert","Correo del Orinoco / AVN","historical time-sensitive state reporting","https://www.correodelorinoco.gob.ve/comision-cuantifica-afectaciones-por-doble-terremoto-en-aeropuerto-de-maiquetia/","2026-08-02","2026-08-09","high","20 July 2026 historical report: CCS remained on limited operations after the 24 June earthquakes.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","VE-04","Venezuela","operational_alert","commercial flight restart planning","Ciudad CCS","historical time-sensitive state reporting","https://ciudadccs.info/index.php/publicacion/47515","2026-08-02","2026-08-09","high","27 July report citing NOTAM CO765/26: technical closure 27 July-22 August and a provisional progressive commercial restart planned for 24 August; travellers must recheck the airport and airline.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","VE-05","Venezuela","entry","tourist entry requirements","Ministry of Foreign Affairs","government consular","https://mppre.gob.ve/index.php/detalle_turismo/4-requisitos-migratorios-para-viajar-a-venezuela-como-turista","2026-08-02","2026-11-02","standard","Official entry-requirements page.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
